metabolite,attn_score
Albumin (g/dl),1.53962
Cystine (mM),1.4638395
Erythrocyte sedimentation rate (mm/h),1.4170907
LDL cholesterol (mg/dl),1.3576456
"1,5-Anhydrosorbitol (mM)",1.2836138
Dimethylsulfone (mM),1.2503519
Urate (mg/dl),1.2296289
Glycine (mM),1.2134416
Citric acid (mM),1.1799955
Glucose (mM),1.1732243
Asparagine (mM),1.1642765
3-Hydroxyisobutyric acid (mM),1.1526666
Tyrosine (mM),1.1507409
Triglycerides (mg/dl),1.1432307
Leucine (mM),1.1424886
Ornithine (mM),1.1182933
Erythrocytes (T/l),1.106314
HDL cholesterol (mg/dl),1.0706729
GlycB to GlycA ratio (unitless),1.0593024
Urea to creatinine ratio (unitless),1.0576569
Formic acid (mM),1.0447905
SPC (mM),1.0305765
Methionine (mM),1.0259886
Creatine (mM),1.0236552
Leukocytes (G/l),1.0224793
Alanine (mM),1.0114268
Transferrin (mg/dl),1.0069448
Calcium (mg/dl),1.0050833
Glutamine (mM),1.0046145
Apolipoprotein B (mg/ml),1.0042319
Non-albumin protein (g/dl),1.002767
Glutamic acid (mM),1.0019683
Serine (mM),0.9921158
2-Aminobutyric acid (mM),0.9854345
Glyc A (mM),0.9798154
Methanol (mM),0.9683598
Urea (mg/dl),0.9658188
Choline (mM),0.9574717
Ethanol (mM),0.9376803
Betaine (mM),0.9363045
Iron (µg/dl),0.92604077
Bilirubin (mg/dl),0.9219185
Estimated Glomerular Filtration Rate (ml/min/1.73m²),0.9197166
Acetoacetic acid (mM),0.9188039
Myo-inositol (mM),0.9139261
2-Hydroxybutyric acid (mM),0.9108003
D-Galactose (mM),0.9016466
Platelets (G/l),0.9001166
Threonine (mM),0.89898795
Lactate to pyruvate ratio (unitless),0.8987426
Histidine (mM),0.8978824
2-Oxoglutaric acid (mM),0.8925994
Glycerol (mM),0.8866021
"N,N-Dimethylglycine (mM)",0.88113016
BCAA to AAA (Phe+Tyr) ratio (unitless),0.8791385
Acetone (mM),0.86791617
Succinic acid (mM),0.8674709
Lipoprotein(a) (mg/dl),0.8595609
Sarcosine (mM),0.8589448
Creatinine (mM),0.8555034
Dimethylamine (mM),0.85469294
Lysine (mM),0.8545526
Lactic acid (mM),0.8479088
Arginine (mM),0.83584356
Acetic acid (mM),0.8346063
Phenylalanine (mM),0.8313829
Proline (mM),0.8271302
Glutamine to glutamate ratio (unitless),0.82546216
C reactive protein (mg/dl),0.8182788
Pyruvic acid (mM),0.8181964
Aspartate (mM),0.81376046
Trimethylamine-N-oxide (mM),0.7991159
