rank,feature,mean_abs_shap
1,egfr_ml_min,0.89125891
2,creatinine_mgdl,0.17733246
3,albumin_gdl,0.00904239
4,physical_activity_level,0.00381190
5,crp_mgL,0.00379161
6,folate_ngml,0.00375500
7,vitamin_d_ngml,0.00368431
8,dbp_mmHg,0.00336829
9,wbc_10^9_per_L,0.00321601
10,plt_10^9_per_L,0.00316597
11,alcohol_units_per_week,0.00272510
12,sbp_mmHg,0.00245751
13,y_rbc_10^12_per_L,0.00243872
14,ferritin_ngml,0.00243062
15,iron_ugdl,0.00231895
16,heart_rate_bpm,0.00231559
17,smoker,0.00223137
18,vitamin_b12_pgml,0.00203099
